ESPÉCIE,AUTOR,NOME_VULGAR,LINK,SINONIMIA_BOTANICA,FAMILIA,FORMA_BIOLOGICA,FLORESTA_OMBROFILA_DENSA,FLORESTA_OMBROFILA_ABERTA,FLORESTA_OMBROFILA_MISTA,FLORESTA_ESTACIONAL_SEMIDECIDUAL,FLORESTA_ESTACIONAL_DECIDUAL,SISTEMA_EDAFICO_PRIMEIRA_OCUPACAO,VEGETACAO_INFLUENCIA_MARINHA,VEGETACAO_INFLUENCIA_FLUVIOMARINHA,VEGETACAO_INFLUENCIA_FLUVIAL,CAMPOS_RUPESTRES,SASV,AREAS_ANTROPIZADAS,OBSERVACAO_SOLO,TEXTURA_CASCALHO,TEXTURA_ARENOSO,TEXTURA_MEDIO,TEXTURA_ARGILOSO,FERTILIDADE_ALTA,FERTILIDADE_BAIXA,BEM_DRENADO,MAL_DRENADO,MODERADAMENTE_DRENADO,SUJEITO_ALAGAMENTO,RASO_CASCALHO,RASO_ROCHA,PROFUNDO,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PE,PI,PB,PR,RJ,RN,RO,RR,RS,SE,SC,SP,TO,TOL_SOMBRA,ESTRATEGIA_OCUPACAO,PERSISTENCIA_FOLHAGEM,PERIODO_FLORACAO,PERIODO_FRUTIFICACAO,PERIODO_COLETA_SEMENTE,ANIMAL_ATRAIDO,ATRATIVO,TIPO_INTERACAO,ESTRATEGIA_DISPERSAO,COLETA_PROCESSAMENTO,SEMENTE_P_KG,PESO_FRESCO,CONDICOES_ARMAZENAMENTO,PRAZO_ARMAZENAMENTO,TOL_DESSECACAO,TOL_FRIO,TIPO_DORMENCIA,TRAT_GERMINACAO,PADRONIZACAO,LENTO,RAPIDO,MUITO_RAPIDO,ALTURA_MEDIA,TEMPO_MEDIO_PLANTIO,DESENVOL_MUDA_CAMPO,FBN,USO_ALIMENTACAO,USO_ARTESANATO,USO_AROMATICO,USO_CORT,USO_COND,USO_COSMETICO,USO_FORRAGEM,USO_FIBRAS,USO_LATEX,USO_MADEIRA,USO_MEDICINAL,USO_MELIFERA,USO_OLEO,USO_ORNAMENTAL,USO_RESINA,USO_RAD,USO_TANINO,USO_TINTURA,USO_TOXICO,REFERENCIA,REFERENCIA1,REFERENCIA2,REFERENCIA3,REFERENCIA4,AMEACADO
Siparuna guianensis,Aubl.,"Capitiú, Negramina, Caápitiú, Limão-bravo, Mõe-hanakë",https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Siparuna cavalcantei Jangoux; Siparuna duckeana Jangoux; Siparuna camporum (Tul.) A.DC.; Siparuna savanicola Jangoux; Siparuna arianeae Per.-Moura; Siparuna fortida Barb.Rodr.; Siparuna itacaiunensis Jangoux; Citriosma guianensis Aubl.,Siparunaceae,Árvore,1,0,,1,0,0,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,DD
Sloanea guianensis,(Aubl.) Benth.,"Urucurana, gindiba",https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Ablania guianensis Aubl.; Sloanea alnifolia Mart.; Sloanea maximowicziana K. Schum.; Sloanea regelii K. Schum.; Sloanea stipitata Spruce ex Benth.; Trichocarpus laurifolius Willd.; Sloanea minima T.D.Penn,Elaeocarpaceae,Árvore,1,0,1,1,0,0,1,0,1,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,DD
Sloanea hirsuta ,(Schott) Planch. ex Benth.,"Sapopema, Castanha-brava, Maria-negra",https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Sloanea monosperma Vell.; Dasynema hirsutum Schott; Sloanea riparia (Gardner) Planch. ex Benth.; Dasynema riparium Gardner; Sloanea ochrocarpa  Radlk.,Elaeocarpaceae,árvore,1,0,1,1,1,0,0,0,1,0,0,0,"Ocorre, naturalmente, em solos bastante úmidos e em solos secos",-,-,-,-,-,-,0,1,0,0,-,-,-,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,-,-,perenifólia,ago-set,nov-dez,-,-,-,dispersão,"barocórica, zoocórica",Os frutos devem ser colhidos antes de iniciarem a deiscência ou abertura natural,2700-24500,-,apresenta comportamento recalcitrante,curto período de tempo (<3 meses),0,-,não apresenta dormência,não é necessário,regular,0,1,0,10-20m,6 meses,moderado,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,"LORENZI, Harri. Árvores Brasileiras: Manual de Identificação e Cultivo de Plantas Arbóreas Nativas do Brasil. Vol. 1 – 5. ed. Nova Odessa, SP. 96p.",CNCFlora. Sloanea hirsuta in Lista Vermelha da flora brasileira versão 2012.2 Centro Nacional de Conservação da Flora. Disponível em <http://cncflora.jbrj.gov.br/portal/pt-br/profile/Sloanea hirsuta>. Acesso em 22 abril 2022.,"CARVALHO, P. E. R. Espécies arbóreas brasileiras. Coleção Espécies Arbóreas Brasileiras, vol.2. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2006. 489p",,,NE
Solanum bullatum,Vell.,"Fumo-bravo, capoeira-branca, pau-de-fumo",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231976/1/Especies-Arboreas-Brasileiras-vol-3-Fumo-bravo.pdf,Solanum macropus Dunal,Solanaceae,Árvore,1,0,1,1,0,0,0,0,0,0,0,1,"Ocorre em terrenos rasos e profundos, com fertilidade química variável, na maioria das vezes pobres, com altos teores de alumínio.",0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,1,1,0,0,0,0,0,1,1,0,-,-,perenifólia,"set-mar (SC), out-jun. (SP)",jan.-mar (PR),-,macacos e morcegos,frutos,dispersão,zoocórica,"Os frutos podem ser coletados diretamente da árvore ou recolhidos do chão. Após, os frutos passam por maceração em peneira para separação das sementes",240 mil,-,-,curto prazo,-,1,-,não é necessário,ótimo,1,0,0,13 m,6 meses,-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"CARVALHO, P.E.R. Espécies arbóreas brasileiras. Coleção espécies Arbóreas,vol. 3. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2008, 263p.",Solanaceae in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB14737>. Acesso em: 16 jun. 2022,,,,LC
Solanum compressum,L.B.Sm. & Downs,"Canema-mirim, coerana",https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,,Solanaceae,Árvore,0,0,1,0,1,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,-,-,-,fevereiro- março,fevereiro- março,-,-,-,-,,,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,DD
Solanum lycocarpum,A.St.-Hil.,"Lobeira, fruto-de-lobo, jurubebão",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231852/1/Especies-Arboreas-Brasileiras-vol-4-Lobeira.pdf,Solanum macrocalyx var. recurvum Witasek; Solanum lycocarpum var. decalvatum Witasek; Solanum grandiflorum var. angustifolium Sendtn.; Solanum grandiflorum var. pulverulentum Sendtn.; Solanum macrocalyx var. angustifolium Dunal,Solanaceae,"Árvore, arbusto",0,0,0,0,0,0,0,0,0,0,0,1,"Ocorre em terrenos rasos e profundos, com fertilidade química variável, na maioria das vezes pobres, com altos teores de alumínio.",0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,-,-,decídua,"mar-dez (PR), set-dez (SP)","mai-jun (SP), nov-jun (PR)",-,"lobo-guará, lagartos, morcegos",frutos,dispersão,autocórica e zoocórica,"Os frutos podem ser colhidos diretamente da árvore. Após, devem ser colocados em saco plástico até a polpa se decompor. As sementes são separadas em água corrente",27800-65700,-,-,curto período,0,0,-,Escarificação natural pelo trato intestinal dos animais,regular,1,0,0,3-5 m,6 meses,rápido,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,"CARVALHO, P.E.R. Espécies arbóreas brasileiras. Coleção espécies Arbóreas,vol. 4. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2010, 342p.","LORENZI, Harri. Árvores Brasileiras: Manual de Identificação e Cultivo de Plantas Arbóreas Nativas do Brasil. Vol 2 – 3. ed. Nova Odessa, SP. 326p.",Solanaceae in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB14805>. Acesso em: 18 jun. 2022,,,NE
Solanum mauritianum,Scop.,"Cuvitinga, fumo-bravo, cuvitinga",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232079/1/Especies-Arboreas-Brasileiras-vol-5-Cuvitinga.pdf,Solanum auriculatum Aiton; Solanum tabaccifolium Vell.,Solanaceae,"Árvore, arbusto",1,0,1,0,1,0,0,0,0,0,0,1,"Ocorre em terrenos com fertilidade variável, a maioria das vezes solos ácidos, pobres e com pH variando de 3,5 e 5,5. A espécie tolera terrenos pedregosos e terraplanados.",-,-,1,1,1,1,1,0,0,0,-,-,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,-,-,perenifólia,"out-mar (SC), out-fev. (PR)","ago.-out (MG), dez-abr. (PR)",-,animais silvestres,frutos,dispersão,zoocórica,"Os frutos podem ser colhidos diretamente da árvore ou do chão, após a queda. As sementes podem ser maceradas em uma peneira.",435 mil,-,ortodoxo,-,-,1,-,não é necessário,ótimo,1,0,0,12 m,6 meses,-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"CARVALHO, P.E.R. Espécies arbóreas brasileiras. Coleção espécies Arbóreas,vol. 5. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2014, 264p.",Solanaceae in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB14809>. Acesso em: 16 jun. 2022,,,,NE
Sorocea bonplandii,(Baill.) W.C.Burger et al.,"Cincho, bainha-de-espada, espinheira-santa-falsa",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231998/1/Especies-Arboreas-Brasileiras-vol-3-Cincho.pdf,Sorocea ilicifolia Miq.; Pseudosorocea bonplandii Baill.,Moraceae,"Árvore, arbusto",1,0,0,1,0,0,0,0,0,0,0,0,"Ocorre em diversos tipos de solos, mais ocorrente em solos de várzeas (Organossolos)",-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,sim,-,perenifólia,"mai-ago (PR), jul.-out (RS)","out-dez (PR), nov-mar (RS)",-,-,-,dispersão,autocórica e zoocórica,,2400-4000,-,recalcitrante,20 dias,0,1,não há necessidade,não é necessário,bom,1,0,0,15 m,5-7 meses,-,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,"CARVALHO, P.E.R. Espécies arbóreas brasileiras. Coleção espécies Arbóreas,vol. 3. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2008, 208p.","Pederneiras, L.C.; Ribeiro, J.E.L.S.; Mattos, L. Sorocea in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB31440>. Acesso em: 15 jun. 2022",,,,NE
Sparattosperma leucanthum,(Vell.) K.Schum.,"Ipê-boia, ipê-batata, caroba-branca, cinco-chagas",https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Bignonia leucoxylon DC.; Sparattosperma vernicosum var. subtomentosa Bureau; Sparattosperma lithontripticum var. subtometosum Bureau; Bignonia leucantha Vell.; Bignonia subvernicosa DC.; Sparattosperma vernicosum (Cham.) Bureau & K.Schum.; Sparattosperma stenocarpum Bureau & K.Schum.; Spathodea vernicosa Cham.; Tecoma salzmanni DC.; Tecoma subvernicosa DC.; Sparattosperma lithontripticum Mart. ex DC.; Tecoma salzmannii DC.,Bignoniaceae,Árvore,1,0,1,1,1,1,0,0,0,0,0,0,Indiferente as condições físicas do solo.,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,não,recobrimento,semicaducifólia,Janeiro a Março,Agosto a Novembro,Agosto  a Outubro,-,-,-,anemocórica,"Coletar os frutos de coloração marrom e ainda fechados direto da árvore, com podão, quando outros frutos da árvore já tiverem começado a se abrir. Secar os frutos ao sol até abertura espontânea. Separar sementes do fruto manualmente, com auxílio de peneira.",180000,"39,0625",As sementes tem comportamento ortodoxo ao armazenamento,< 6 meses,sim,sem informação,sem dormência,não há necessidade,regular,0,1,0,-,6,rápido,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,"LORENZI, 2014.","NOGUEIRA et al., 2016",,,,DD
Spondias mombin,L.,Cajá; Cajá-mirim; Cajarana; Taperebá,https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232354/1/Especies-Arboreas-Brasileiras-vol-2-Caja-da-Mata.pdf,Spondias lutea L.; Spondias mambin L.,Anacardiaceae,Árvore,1,0,0,1,1,0,0,0,0,0,0,0,"Ocorre, naturalmente , em terrenos úmidos",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,-,diversidade,semicaducifólia,"Jul (PA) - Nov (PA, MS); Ago (AM) - Set (AM); Set (AC, BA) - Mar (BA); Out (MS); Nov (PE) -  Fev (PE).",Fev - Abr (MS); Mai -  Jul (PE),Fev - Abr (MS); Mai - Jul (PE),-,-,-,zoocórica,"Despolpar os frutos, em seguida lavar em água corrente e levar para secar ao sol.",255,"3921,00",-,3 meses,Não,Não,,não é necessário,boa,1,0,0,30-40,__,moderado,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SANTANA et al., 2008","CARVALHO, 2006","NASCIMENTO,et al., 2004",,,LC
Sterculia curiosa,(Vell.) Taroda,"Chichá, samuma-branca, ararixá",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232077/1/Especies-Arboreas-Brasileiras-vol-5-Chicha.pdf,Mateatia curiosa Vell.,Malvaceae,Árvore,1,0,0,0,0,0,0,0,0,0,0,0,"Ocorre em variados tipos de solos, de várzeas alagadas, até altos dos morros. Porém, se desenvolve melhor e solos profundos, drenados e rico em fertilidade",-,-,-,-,1,0,1,0,0,0,-,-,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-,-,decídua,"dez-mar (SP), jan. (MG)","jul-ago (MG), jul.-out (SP)",-,animais silvestres,fruto,dispersão,autocórica,"As sementes devem ser extraídas dos frutos maduros, pois em poucos dias fermentam e não germinam. Uma forma de se acelerar a colheita é cortando os cachos pelo pedúnculo, à medida que comecem  abrir. Dessa forma, as sementes devem ser colocadas pra secar imediatamente.",120-150,-,recalcitrante,curto período,0,0,não há necessidade,não é necessário,-,0,1,0,30 m,5 meses,-,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,"CARVALHO, P.E.R. Espécies arbóreas brasileiras. Coleção espécies Arbóreas,vol. 5. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2014, 248p.","Colli-Silva, M.; Fernandes-Júnior, A.J. Sterculia in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB103225>. Acesso em: 15 jun. 2022",,,,NE
Sterculia striata,A.St.-Hil. & Naudin,"Chichá-do-cerrado, xixá, amendoim-de-cutia, chicá-do-mato",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/231878/1/Especies-Arboreas-Brasileiras-vol-4-Chicha-do-Cerrado.pdf,,Malvaceae,Árvore,0,0,0,1,1,1,1,0,1,1,0,1,"Ocorre preferencialmente em terrenos profundos e bem drenados, sendo tolerante a terrenos secos e pedregosos.",1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,não,diversidade,Caducifólia,Dez-Mar(MG); Jan-Abr(DF),Mai-Jul(MG); Ago-Set (DF),-,-,-,-,autocórica (barocórica),"Devem ser colhidos diretamente da árvore, quando iniciarem a abertura espontânea.",450,"6097,560976","A viabilidade é curta, não ultrapassando 60 dias.",-,sim,sem informação,sem dormência,não há necessidade,boa,0,1,0,-,6,moderado,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,"CARVALHO, 2006v2",,,,,DD
Stryphnodendron polyphyllum,Benth.,Barbatimão,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Stryphnodendron humile E.M.O. Martins,Fabaceae,Arbusto/Árvore,0,0,0,0,0,0,0,0,0,0,0,0,"Ocorre, preferencialemente, em formações secundárias de terrenos arenosos ou argilosos, bem drenados e de baixa fertilidade natural.",0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,não,recobrimento,Caducifólia,novembro-dezembro,julho-setembro,-,-,-,-,zoocórica,"Colher os frutos diretamente da árvore quando iniciarem a queda espontânea ou recolhê-los no chão logo após a queda. Em seguida, deixá-los ao sol para facilitar a abertura manual e retirada das sementes.",9500,"4166,67",-,-,-,-,-,não há necessidade,baixa,0,0,0,-,-,-,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,,,,,,DD
Styrax acuminatus,Pohl,"Caujujão, cajudo, estoraque-do-mato",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232076/1/Especies-Arboreas-Brasileiras-vol-5-Caujujao.pdf,Styrax acuminatus var. alutaceus (Seub.) Perkins; Styrax acuminatum Pohl; Styrax alutaceum Pohl; Styrax alutaceus Seub.,Styracaceae,Árvore,1,0,0,1,0,0,0,0,0,0,0,0,"Ocorre espontaneamente em terrenos rasos a profundos e a fertilidade pode variar, na maioria das vezes acontece em solos ácidos e pobres. O pH desses solos pode variar de 3,5 a 5,5",0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,-,-,perenifólia,ago.-out,set-nov.,-,-,-,dispersão,autocórica e zoocórica,,7554,-,recalcitrante,curto período,0,1,-,"Imersão em ácido sulfúrico a 75%, durante 30 minutos. Em seguida, as semente devem ser lavadas em água corrente ou passar por escarificação mecânica. Sementes recém-colhidas germinam sem necessidade de tratamento.",ótimo,1,0,0,15 m,6 meses,-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,"CARVALHO, P.E.R. Espécies arbóreas brasileiras. Coleção espécies Arbóreas,vol. 5. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2014, 239p.","Romão, G.O.; Cabral, A.; Fritsch, P.W.; Santos, F.B.D. Styracaceae in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB32906>. Acesso em: 14 jun. 2022",,,,LC
Styrax leprosus,Hook. & Arn.,"Caujuja, carne-de-vaca, cuia-do-brejo",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232114/1/Especies-Arboreas-Brasileiras-vol-3-Caujuja.pdf,Styrax leprosum Hook. & Arn.,Styracaceae,Árvore,1,0,1,0,0,0,0,0,0,0,0,0,Comum em solos úmidos,-,-,-,-,1,-,0,1,0,1,-,-,-,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,não,-,perenifólia,dez-mar,jan-mai,jan-mai,-,-,dispersão,"zoocórica, autocórica","Os frutos devem ser colhidos diretamente da árvore, quando iniciarem queda espontânea, ou recolhidos do chão, após a queda. Para obtenção de sementes os frutos devem ficar em estado de decomposição para liberação das sementes em água corrente.",7554 mil,-,apresenta comportamento recalcitrante,<  1 mês,0,1,,Imersão em ácido sulfúrico a 75% por 30 minutos ou escarificação mecânica durante 2 segundos.,-,0,1,0,4-18m,-,ótimo,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,"CARVALHO, P.E.R. Espécies arbóreas brasileiras. Coleção espécies Arbóreas,vol. 3. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2008, 161p.","LORENZI, Harri. Árvores Brasileiras: Manual de Identificação e Cultivo de Plantas Arbóreas Nativas do Brasil. Vol 3 – 2. ed. Nova Odessa, SP. 354p.",,,,NE
Swartzia langsdorffii,Raddi,Pacová-de-macaco,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Swartzia brasiliensis Vogel,Fabaceae,Árvore,1,0,0,1,0,0,0,0,0,0,0,0,"Espécie que se desenvolve bem em solos profundos de textura média a argilosa, com boas ou moderadas condições de drenagem.",0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-,diversidade,Perenifólia,setembro - janeiro,janeiro-fevereiro,fevereiro - abril,-,-,-,zoocórica,-,25,"79,36507937",-,-,-,-,-,-,ótima,1,0,0,-,9,-,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,"LORENZI, 2002a",,,,,DD
Swartzia multijuga,Vogel,Banha-de-galinha,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Swartzia multijuga Vogel var. multijuga,Fabaceae,Árvore,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://reflora.jbrj.gov.br/reflora/listaBrasil/FichaPublicaTaxonUC/FichaPublicaTaxonUC.do?id=FB29895,,,,,DD
Swietenia macrophylla,King,"Mogno, aguano, cedrorana",https://ainfo.cnptia.embrapa.br/digital/bitstream/item/232488/1/Especies-Arboreas-Brasileiras-vol-2-Mogno.pdf,Swietenia krukovii Gleason; Swietenia candollei Pittier; Swietenia tessmannii Harms; Swietenia belizensis Lundell; Swietenia tesomannii Harms,Meliaceae,Árvore,1,0,0,1,0,0,0,0,0,0,0,0,"Ocorre em tipos de solos variáveis, desde solos profundos e pobres de drenagem, solos argilosos ácidos e pantanosos, até solos alcalinos bem drenados, provenientes de planaltos calcários, incluindo os solos derivados de rochas ígneas e metamórficas.",0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,sim,-,semidecídua,nov-jan,set-nov.,-,,,dispersão,anemocórica e hidrocórica,"Os frutos podem ser coletados diretamente da árvore, quando iniciarem a deiscência. Após, devem ser expostos ao sol para completarem a abertura e liberarem as sementes.",1300-2700,-,ortodoxo,1 ano,1,0,-,não é necessário,ótimo,0,1,0,25-30 m,4-5 meses,rápido,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,"CARVALHO, P. E. R. Espécies arbóreas brasileiras. Coleção Espécies Arbóreas Brasileiras, vol.2. Brasília, DF: Embrapa informações Tecnológica; Colombo, PR: Embrapa Florestas, 2006. 377p","LORENZI, Harri. Árvores Brasileiras: Manual de Identificação e Cultivo de Plantas Arbóreas Nativas do Brasil. Vol. 1 – 5. ed. Nova Odessa, SP. 243p.","Flores, T.B. Meliaceae in Flora e Funga do Brasil. Jardim Botânico do Rio de Janeiro. Disponível em: <https://floradobrasil.jbrj.gov.br/FB23803>. Acesso em: 18 jun. 2022",,,VU
Syagrus romanzoffiana,(Cham.) Glassman,Jerivá; Jarobá,https://www.embrapa.br/florestas/publicacoes/especies-arboreas-brasileiras,Cocos martiana Drude & Glaz.; Arecastrum romanzoffianum var. ensifolium (Drude) Becc.; Arecastrum romanzoffianum var. australe (Mart.) Becc.; Cocos botryophora var. ensifolia Drude; Calappa romanzoffiana (Cham.) Kuntze; Calappa plumosa (Hook.f.) Kuntze; Calappa martiana (Drude & Glaz.) Kuntze; Calappa datil (Drude & Griseb.) Kuntze; Cocos australis Drude & Brandt; Cocos acrocomioides Drude; Cocos datil Drude & Griseb.; Cocos romanzoffiana Cham.; Cocos australis Mart.; Arecastrum romanzoffianum var. micropindo Becc.; Arecastrum romanzoffianum (Cham.) Becc.; Cocos geriba Barb.Rodr.; Arecastrum romanzoffianum var. genuinum Becc.; Arecastrum romanzoffianum (Cham.) Becc. var. romanzoffianum; Cocos arechavaletana Barb.Rodr.; Cocos plumosa Lodd. ex Hook.; Cocos romanzoffiana var. plumosa (Lodd. ex Hook.) A. Berger; Calappa acrocomioides (Drude) Kuntze; Calappa australis (Mart.) Kuntze,Arecaceae,Árvore,1,0,1,1,1,0,0,0,0,0,0,0,"Naturalmente ocorre em solos tanto de alta como de baixa fertilidade química e ocasionalmente nos afloramentos de arenito. Essa espécie pode vegetar em terrenos secos, orgânicos ou sujeito a inundação temporária ou temporariamente encharcados.",0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,não,diversidade,Perenifólia,Set  - Mar(RS); Dez -  Abr (PR),abril - outubro,Ago - Mar(PR); Set (SC); Out - Nov  (RS),-,-,-,zoocórica,Seu invólucroé quebrado com muito cuidado e as sementes devem ser retiradas maualmente dos frutos com ajuda de morsa e espátula.,140,7142,-,4 meses,Sim,sim,Física,Despolpamento,boa,1,0,0,30-40,12,Lento,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,"LIEBSCH & SANDRA, 2009","CAPPELATTI & SCHIMITTI, 2009","SANQUETTAet al., 2010","CARVALHO, 2006",,DD
